Current (mA),Newport_Keithley_ChB,Keithley_ChB_PM,Newport_PM
0,0.763042,0.711369,0.738331
1,0.902504,0.897199,0.900442
2,0.940346,0.939258,0.940726
3,0.961787,0.961105,0.961891
4,0.976442,0.975752,0.976397
5,0.988064,0.987797,0.988246
6,0.997805,0.997581,0.997941
7,1.00685,1.00646,1.00688
8,1.01454,1.01408,1.01446
9,1.02157,1.02118,1.02145
10,1.0278,1.02758,1.02782
11,1.03386,1.0337,1.03383
12,1.03941,1.03934,1.03928
13,1.04477,1.0446,1.04461
14,1.04971,1.04973,1.04964
15,1.05461,1.05457,1.05451
16,1.05909,1.05915,1.05916
17,1.06351,1.06361,1.06353
18,1.06712,1.06711,1.06718
19,1.07036,1.07042,1.07048
20,1.0738,1.07389,1.07386
21,1.07713,1.07717,1.07713
22,1.08049,1.08053,1.08049
23,1.08384,1.08377,1.08371
24,1.08708,1.08707,1.08706
25,1.09025,1.09025,1.09019
26,1.09347,1.09351,1.09355
27,1.0966,1.09663,1.09661
28,1.09979,1.09975,1.09979
29,1.10283,1.10283,1.1029
30,1.10597,1.10598,1.10596
31,1.10896,1.10899,1.10899
32,1.11205,1.11204,1.11188
33,1.1149,1.11502,1.11482
34,1.11798,1.11802,1.11786
35,1.12088,1.12088,1.12074
36,1.12377,1.12379,1.12371
37,1.1266,1.12675,1.12659
38,1.12946,1.1296,1.12939
39,1.13232,1.13248,1.13227
40,1.13521,1.13531,1.13511
41,1.13801,1.13817,1.13794
42,1.14081,1.14093,1.14077
43,1.14368,1.14379,1.1436
44,1.1464,1.14656,1.1464
45,1.14924,1.14932,1.14924
46,1.15195,1.152,1.15192
47,1.15469,1.15474,1.15471
48,1.15732,1.15744,1.1573
49,1.16006,1.16014,1.16002
50,1.16272,1.1628,1.16267
51,1.1654,1.16547,
52,1.168,1.16811,
53,1.17066,1.17074,
54,1.17325,1.17334,
55,1.1758,1.17589,
56,1.1784,1.17851,
57,1.18099,1.181,
58,1.18359,1.18367,
59,1.1861,1.18617,
60,1.18867,1.18875,
61,1.19118,1.19126,
62,1.19375,1.19376,
63,1.19617,1.19622,
64,1.19868,1.19873,
65,1.20116,1.20118,
66,1.2036,1.20369,
67,1.20602,1.20613,
68,1.20848,1.20858,
69,1.21083,1.21098,
70,1.21329,1.21344,
71,1.21566,1.2158,
72,1.21796,1.21816,
73,1.22047,1.2206,
74,1.22279,1.22293,
75,1.22516,1.22533,
76,1.22746,1.22762,
77,1.22982,1.23002,
78,1.23219,1.23229,
79,1.23451,1.23464,
80,1.23683,1.23695,
81,1.23912,1.23929,
82,1.24141,1.24157,
83,1.24379,1.2439,
84,1.24604,1.24614,
85,1.24832,1.2484,
86,1.25054,1.25065,
87,1.25283,1.25289,
88,1.25509,1.25512,
89,1.25735,1.25741,
90,1.25952,1.25957,
91,1.26171,1.26176,
92,1.26393,1.26394,
93,1.2661,1.26611,
94,1.2683,1.26834,
95,1.27046,1.27049,
96,1.27267,1.2727,
97,1.27482,1.27481,
98,1.27697,1.277,
99,1.27911,1.27911,
100,1.28129,1.28129,
101,1.28335,1.28337,
102,1.28549,1.28552,
103,1.28759,1.28762,
104,1.2897,1.28971,
105,1.29181,1.29177,
106,1.29392,1.29388,
107,1.29599,1.29591,
108,1.29801,1.29795,
109,1.3001,1.30007,
110,1.30225,1.30208,
111,1.30424,1.30415,
112,1.30625,1.30617,
113,1.30835,1.30828,
114,1.31035,1.31027,
115,1.31239,1.3123,
116,1.31439,1.31432,
117,1.31644,1.31634,
118,1.31843,1.31829,
119,1.32045,1.32033,
120,1.32239,1.32225,
121,1.32411,1.32427,
122,1.32611,1.32618,
123,1.32816,1.32817,
124,1.33014,1.3301,
125,1.33204,1.33202,
126,1.33398,1.334,
127,1.33589,1.33589,
128,1.33783,1.33784,
129,1.33975,1.33972,
130,1.34171,1.34169,
131,1.34375,1.34358,
132,1.34576,1.34547,
133,1.34756,1.34738,
134,1.34956,1.34934,
135,1.35146,1.35118,
136,1.35335,1.35305,
137,1.35525,1.3549,
138,1.35712,1.3568,
139,1.35902,1.35861,
140,1.36081,1.36048,
141,1.36266,1.3624,
142,1.36451,1.36434,
143,1.36635,1.36616,
144,1.36812,1.36795,
145,1.36999,1.36979,
146,1.37174,1.37159,
147,1.37361,1.37343,
148,1.37536,1.37525,
149,1.37714,1.37702,
150,1.37896,1.3788,
