Current (mA),Newport_Keithley_ChB,Keithley_ChB_PM,Newport_PM
0,5.20808e-07,-4.9416045e-05,2.862e-06
1,6.66197e-07,-4.9524215e-05,2.862e-06
2,8.92786e-07,-4.9461599e-05,3.05e-06
3,1.14455e-06,-4.9198713e-05,3.36e-06
4,1.39594e-06,-4.8919592e-05,3.68e-06
5,1.65913e-06,-4.8593427e-05,3.99e-06
6,1.93031e-06,-4.8330872e-05,4.33e-06
7,2.21544e-06,-4.8005867e-05,4.66e-06
8,2.50605e-06,-4.7678543e-05,5.03e-06
9,2.83107e-06,-4.7303014e-05,5.4e-06
10,3.17376e-06,-4.6875306e-05,5.83e-06
11,3.56526e-06,-4.6501268e-05,6.25e-06
12,3.99049e-06,-4.6027343e-05,6.76e-06
13,4.47092e-06,-4.5520951e-05,7.28e-06
14,5.00957e-06,-4.4887506e-05,7.9e-06
15,5.67359e-06,-4.4208506e-05,8.62e-06
16,6.45773e-06,-4.3363691e-05,9.41e-06
17,7.48221e-06,-4.2356208e-05,1.043e-05
18,8.86432e-06,-4.102902e-05,1.174e-05
19,1.09012e-05,-3.9275449e-05,1.344e-05
20,1.17339e-05,-3.6348414e-05,1.609e-05
21,6.71614e-05,-2.324318e-05,2.24e-05
22,0.000184974,3.8557688e-05,8.89e-05
23,0.000298298,0.00022717241,0.0002281
24,0.000413171,0.000328000252,0.000373
25,0.0005262,0.00047365961,0.000516
26,0.000639959,0.000617677376,0.000658
27,0.000753449,0.000769053316,0.000802
28,0.000867853,0.000916726978,0.000944
29,0.000981531,0.00106847066,0.001087
30,0.000990909,0.001212924086,0.00123
31,0.00109661,0.001362086942,0.00137
32,0.00120925,0.001511662266,0.001513
33,0.00132427,0.00172617239,0.001665
34,0.00144962,0.001834192755,0.001817
35,0.0015704,0.0019824992,0.0
36,0.00169268,0.00214841424,0.0
37,0.00182462,0.002309707645,0.0
38,0.0019503,0.002471183265,0.0
39,0.00208112,0.00262836855,0.0
40,0.00220871,0.00279136815,0.0
41,0.00233833,0.002955212565,0.0
42,0.00246883,0.003121591425,0.0
43,0.00260237,0.003284458505,0.0
44,0.00272928,0.00344856796,0.0
45,0.00286024,0.003611816035,0.0
46,0.0029875,0.00377695252,0.0
47,0.0031148,0.0039308745,0.0
48,0.00324318,0.004093758145,0.0
49,0.00337506,0.004255001855,0.0
50,0.00349989,0.00442007208,0.0
51,0.00363003,0.004582525035,
52,0.00375562,0.004749798405,
53,0.00388358,0.004920086605,
54,0.00401264,0.005083649415,
55,0.00413692,0.005252645545,
56,0.00426452,0.00541307757,
57,0.00439254,0.005577949015,
58,0.00452917,0.005745884985,
59,0.004654,0.005906002275,
60,0.00477959,0.00606030525,
61,0.00490519,0.00624285155,
62,0.00503295,0.00638829225,
63,0.00515989,0.00659641491,
64,0.00529185,0.00677432301,
65,0.00542178,0.006924319085,
66,0.00554713,0.00707411638,
67,0.00568334,0.007257242455,
68,0.00581305,0.00745229533,
69,0.00594066,0.007623163305,
70,0.00607219,0.007788283225,
71,0.0061993,0.007944855605,
72,0.00633053,0.008076182925,
73,0.00646313,0.00822747107,
74,0.00658834,0.00840759888,
75,0.00672298,0.008566407535,
76,0.00685051,0.008740704465,
77,0.00698533,0.008909965635,
78,0.00711092,0.009070381095,
79,0.00723877,0.009260414775,
80,0.00736875,0.00945553391,
81,0.00749845,0.00962174712,
82,0.00762245,0.00976178763,
83,0.00775474,0.009955482175,
84,0.00788201,0.010130607355,
85,0.00801193,0.010290857165,
86,0.00813631,0.0104538402,
87,0.00826555,0.010627491095,
88,0.00836847,0.010786912655,
89,0.00849115,0.010958658575,
90,0.00861931,0.0111204158,
91,0.00874511,0.01128391235,
92,0.00887671,0.01144853532,
93,0.00899705,0.011620728495,
94,0.00912985,0.01178540116,
95,0.00926011,0.01191881567,
96,0.00940021,0.012025477705,
97,0.00952846,0.01218213291,
98,0.00966403,0.012434898245,
99,0.00979648,0.012627582325,
100,0.00993213,0.012798003045,
101,0.0100576,0.01297566267,
102,0.0102225,0.01314111389,
103,0.0103507,0.013306482285,
104,0.010485,0.013478625765,
105,0.0106135,0.013651862535,
106,0.010745,0.01382690489,
107,0.010874,0.013999329975,
108,0.0110023,0.014169916345,
109,0.011128,0.01433975729,
110,0.0112589,0.014507676695,
111,0.0113936,0.01467910788,
112,0.0115208,0.01484280321,
113,0.0116534,0.01501965115,
114,0.0117799,0.01519169524,
115,0.011914,0.01535949869,
116,0.0120388,0.015512907155,
117,0.012169,0.015696546745,
118,0.0122965,0.015865211575,
119,0.0124243,0.016033743885,
120,0.0125562,0.016205754845,
121,0.0126869,0.016369383915,
122,0.0128125,0.016536094075,
123,0.012934,0.0167697434,
124,0.0130632,0.01688221975,
125,0.0131921,0.01703660555,
126,0.0133238,0.01720623115,
127,0.0134481,0.01737287505,
128,0.0135761,0.01753421815,
129,0.0137029,0.01770848195,
130,0.0138341,0.0178739663,
131,0.0139601,0.0180369659,
132,0.0140893,0.0182085793,
133,0.0142135,0.0183679346,
134,0.0143426,0.0185441862,
135,0.0144693,0.01871298355,
136,0.0145963,0.0188748236,
137,0.0147223,0.0190417988,
138,0.0148528,0.01921092745,
139,0.0149743,0.0193797248,
140,0.0151019,0.0195440496,
141,0.0152321,0.01970721485,
142,0.0153602,0.01987783435,
143,0.0154849,0.02003851485,
144,0.0155578,0.0202066496,
145,0.0156292,0.02036053845,
146,0.0157441,0.0205246976,
147,0.0158817,0.0206946545,
148,0.0160617,0.02085980755,
149,0.0161353,0.0210233041,
150,0.0162695,0.0211882915,
